message_id,schema_version,tenant_id,site_id,message_type,asset_id,asset_type,timestamp,sequence_no,equipment_health.operating_state,equipment_health.bearing_temp_c,equipment_health.vibration_m_s2,equipment_health.hydraulic_pressure_psi,equipment_health.health_index,operating.engine_hours,diagnostics.battery_voltage,diagnostics.fault_codes
4acfa289-8c42-49f6-b93c-691018e0f278,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-001,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,75.8,3.58,3017.5,1.0,16458.42,24.1,[]
bcc2c510-eb3e-45b6-881d-ed319937b342,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-002,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,76.3,3.63,3092.0,1.0,5622.64,24.1,[]
b60d7016-2d64-40c2-8bfe-15a2554f0287,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-003,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,75.4,3.54,3015.2,1.0,14322.84,24.9,[]
8ee429a3-0403-4b4f-84eb-b392123ae8f5,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-004,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,72.7,4.25,2978.0,1.0,6152.54,24.3,[]
5a6a73de-cfe2-42e8-9d88-035023d36c32,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-005,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,77.4,4.07,2963.3,1.0,3962.99,24.7,[]
094dd823-c271-467d-b266-a5fc9f8071d7,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-006,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,76.6,3.74,2928.2,1.0,17244.7,24.7,[]
7f8ec92a-5df1-4a02-93cd-ea0c790eeef1,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-007,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,70.8,3.63,3097.3,1.0,13724.18,23.8,[]
2aa3817e-0ea2-4a35-8c16-0b3dc145f41e,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-008,fixed_crusher,2026-09-01T16:18:01.854Z,1,faulted,97.1,7.89,2992.8,0.58,12502.24,23.9,"[""BEARING_OVERHEAT"",""VIBRATION_HIGH""]"
10714c93-9a6f-48a3-a7df-32cfdecddd64,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-009,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,78.0,4.19,2914.9,1.0,15703.34,24.7,[]
943ec75e-8472-49fd-932d-72deb5e96fde,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-010,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,69.3,3.76,3145.4,1.0,9812.95,24.9,[]
d7948f23-7b0f-44d6-b039-db34b288650b,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-011,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,72.4,3.71,3072.3,1.0,13414.93,24.3,[]
00da4c37-e4bf-45eb-9ebf-5aa8cf9bedf4,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-012,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,72.9,3.98,2973.7,1.0,11410.01,24.8,[]
88d9333f-0435-4a04-ba42-5faa174ab238,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-013,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,71.5,4.31,2968.8,1.0,5653.2,25.0,[]
c41d4ae7-52cd-4ac9-ac22-0b91a5a206ab,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-014,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,68.7,3.67,2973.9,1.0,1652.91,24.2,[]
b14216c6-0d38-4b06-bda1-73d6aa5c84dc,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-015,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,74.4,3.92,2946.4,1.0,21343.97,23.8,[]
ed008d3e-1ea1-48e9-ac19-a1d47a488f51,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-016,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,70.4,4.29,3064.6,1.0,6910.22,24.6,[]
20820fc9-9ef5-4aba-9380-3de18d01bfd1,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-017,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,73.0,4.11,3053.3,1.0,19136.11,24.3,[]
9714d3d0-0af9-4e9d-b6e5-993e0510a519,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-018,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,73.2,3.57,3108.8,1.0,14058.67,24.0,[]
f80ea572-33e3-4177-9dd5-58db074dabf1,1.0,acme-mining,site-01,equipment_health,ACME-S01-CRUSHER-019,fixed_crusher,2026-09-01T16:18:01.854Z,1,running,72.9,3.61,3042.8,1.0,1412.03,25.0,[]
